screen_names,texts
DottaKellogg,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
diego_318,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
ml_musto,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
dog_chacal6,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
Yoannao1,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
AltieriDario,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
YPalotti,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
El_Homologador,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
RominaPesce5,Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
Tanahoria,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
AquinoSNadia,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
MatildeSoria11,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Joaquin99810882,RT @SirRangerVerde: Bueno @LuisLacallePou acá estamos esperando que salga a pronunciarse sobre la irresponsabilidad en la rural del prado y…
ElPipaenLaPaz,Siguen hablando de la Rural del prado. Que bien vendría una aftosa para que entiendan de una vez por todas la funci… https://t.co/0e5ydSYoA3
eliansk,Los que comparan la rural del prado con la marcha 🤡🤡
Cata_Lopez_07,"RT @mauri13gonzalez: Sorprendente la cantidad de gente que antes vi criticando la rural del prado por la aglomeración, y ayer los mismos es…"
Yula1101,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Bettifati,"@XimeTorres8 Te respeto mucho Xime, pero hay algo que jamas podemos controlar,  la decisión de cada persona, asi qu… https://t.co/G5mMI0z1cr"
avril_gq4,la diferencia es que la rural del prado o los servicios de omnibus SON FUENTES DE TRABAJO y esto son un par de trol… https://t.co/C3Q3i2BHpo
elmuchachouy,"Vamos a repasar las medidas de higiene en la Rural Del Prado, para ayudar a esa pobre gente confundida que no entie… https://t.co/LO7LBOhA6p"
EmmiMartinez19,Como van con su familia de fachxs?? Ya tuvieron el almuerzo incomodo en el que hablan de lo estúpida e irresponsabl… https://t.co/VBnVz6gMXl
kamba_lucy,"@Subrayado 😂😂😂😂😂 . Es tan Fácil  lavarse  las manos, es tan Fácil hechar la Culpa  a la Ciudadanía, Fuimos quiénes… https://t.co/FEdznj3hKc"
tinginda,RT @SirRangerVerde: @Subrayado @LuisLacallePou cuando pronuncia su indignación ante la irresponsabilidad en la rural del prado o cuando via…
