Id,Label,timeset,afinidad,modularity_class,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
1234101200917794816,SAlbita53,,,5,0.000468,18,11,29,7,0.313411,0.348319,0.000017,0.011585,0.00854,0,2,0.561905,0.147554
1073255145193042048,DetomasiBeatriz,,,5,0.000204,3,3,6,7,0.29774,0.326482,0.000012,0.002017,0.002068,0,2,0.333333,0.027265
989825437793648640,Claudia57844742,,,5,0.000143,1,2,3,7,0.295404,0.321975,0,0.001059,0.001686,0,2,1,0.014491
889966239828901888,Stella59213007,,,5,0.000359,12,7,19,7,0.313131,0.344809,0.000001,0.010924,0.00739,0,2,0.78022,0.134246
1202644075624709888,MartinoParada,,,5,0.000386,14,9,23,7,0.316802,0.347362,0.000005,0.010283,0.006573,0,2,0.7,0.126876
2799674457,agarcia97313300,,,5,0.000805,29,40,69,6,0.370475,0.411796,0.001185,0.018152,0.024855,0,2,0.462821,0.237017
745088407999778816,PabloSe75441508,,,5,0.000267,7,18,25,7,0.323214,0.361982,0.000011,0.006903,0.029961,0,2,0.389474,0.085161
1080820958150184960,Francis91247702,,,3,0.000451,18,53,71,6,0.412041,0.45963,0.005363,0.018157,0.058309,0,2,0.234761,0.086345
177014923,gracielaclaudi,,,3,0.001243,43,83,126,6,0.39894,0.458681,0.007319,0.048988,0.090313,0,2,0.290336,0.233926
1073216597890863232,FabianS9999,,,3,0.001568,78,79,157,6,0.406322,0.46254,0.026687,0.066916,0.057468,0,2,0.199367,0.336463
587757495,carloscatr,,cm,3,0.00245,32,51,83,6,0.375356,0.427862,0.009222,0.032493,0.063505,0,2,0.347744,0.207197
163099401,sand_rodri,,,5,0.000479,17,18,35,7,0.321146,0.35923,0.000015,0.013805,0.013872,0,2,0.636364,0.17305
2814293901,maria66831274,,,5,0.000207,3,3,6,7,0.296317,0.323541,0.000071,0.00167,0.001807,0,2,0.333333,0.024219
909268630067715968,AnaPais15,,,5,0.000226,5,7,12,7,0.299432,0.330593,0.000001,0.003282,0.005014,0,2,0.589286,0.042461
188738178,M24radio,,medio,5,0.004082,130,23,153,6,0.355121,0.390291,0.019056,0.056642,0.017738,0,2,0.113648,0.524539
158889854,reirtesalvaaa,,,5,0.000203,5,4,9,7,0.308007,0.332909,0.000001,0.004105,0.004384,0,2,0.5,0.041624
3293679279,flasuava,,,5,0.000141,1,4,5,7,0.301487,0.330042,0,0.000831,0.007479,0,2,0.333333,0.012388
2230634947,Emily84141062,,,5,0.00032,10,8,18,7,0.316137,0.345891,0.000368,0.00588,0.004596,0,2,0.318182,0.076013
2858137335,sebent60,,,5,0.000752,28,20,48,7,0.32193,0.358946,0.000074,0.018002,0.014896,0,2,0.550493,0.239017
885887377553727488,botellanaranja,,,5,0.000384,9,11,20,7,0.322127,0.353108,0.000435,0.006134,0.007278,0,2,0.55303,0.088944
201984234,fijateaver,,fa,5,0.001385,49,13,62,7,0.325711,0.356856,0.001885,0.024924,0.008596,0,2,0.32902,0.300747
1347426914,DPinto168,,,5,0.000692,27,25,52,7,0.328554,0.367182,0.000297,0.016365,0.017983,0,2,0.409677,0.192869
729482570208059392,DelMegafono,,,5,0.001197,45,12,57,7,0.306574,0.338913,0.000398,0.022941,0.011401,0,2,0.303635,0.273165
921879852533403648,Lautaro_Dorelo,,,5,0.000423,12,17,29,7,0.326619,0.360208,0.00005,0.007772,0.011492,0,2,0.5,0.109659
899835452,SunnFlowerssLu,,,5,0.000566,20,8,28,7,0.295321,0.324492,0.000039,0.014152,0.004371,0,2,0.559524,0.168856
1665223272,ChristianCoyto,,,5,0.000567,24,13,37,7,0.337496,0.372637,0.000228,0.017716,0.010788,0,2,0.583333,0.197865
1021582963929174016,mayomensa,,,9,0.000682,7,7,14,7,0.29774,0.322901,0.006281,0.000873,0.003068,0,2,0.053571,0.01296
1191831819924246528,jimegate4,,,5,0.000308,8,15,23,6,0.339452,0.37413,0.000075,0.005875,0.011785,0,2,0.371429,0.069502
1229084276672647168,RMultiloca,,,5,0.000545,18,18,36,6,0.362324,0.396458,0.000938,0.012934,0.010616,0,2,0.48366,0.143653
2687943253,mriera65,,,5,0.000768,34,8,42,7,0.306217,0.334101,0.000026,0.023203,0.004241,0,2,0.563866,0.274541
967848375176646784,tamaperez17,,,5,0.000792,13,15,28,6,0.332807,0.363773,0.012155,0.00549,0.006069,0,2,0.266667,0.053866
363741026,salernata,,,4,0.000187,3,4,7,7,0.29116,0.314891,0.000119,0.002882,0.006925,0,2,0.2,0.030439
1303770949427384320,camilogoni,,,5,0.000123,0,3,3,7,0.284904,0.307044,0,0,0.003755,0,8,0.5,0
915256244,javifundamental,,,5,0.002725,18,7,25,7,0.302613,0.327602,0.002056,0.011926,0.004958,0,2,0.25731,0.13399
888796482299670528,Beaconsecuente,,,5,0.00076,30,22,52,7,0.325811,0.364708,0.000036,0.020512,0.017327,0,2,0.639113,0.265586
