id_str,screen_name,location,description,protected,verified,followers_count,friends_count,statuses_count,created_at
708987806,CaroMoizo,"Montevideo, Uruguay",Definirse es limitarse,False,False,466,446,7193,2012-07-21 13:33:49
153146271,PNACIONAL,Uruguay,"Partido político, con 184 años de historia",False,True,70990,269,95589,2010-06-07 20:17:07
1965753246,BeluMarmol,"Montevideo, Uruguay",,False,False,1757,818,25761,2013-10-17 00:42:51
163343269,LASOLE1717,,"MADRE DE DOS HERMOSURAS. DOCTORA EN DERECHO, REMATADORA, ORGULLOSAMENTE BLANCA Y BOLSILLUDA",False,False,663,730,20326,2010-07-06 04:51:47
1123271522607685632,DavidFe63739351,"Montevideo, Uruguay","Súper Alegre, Militante partido Nacional (PLP - Lista 250), Trabajo con Adolescentes, Padre de 2 hijos, Soltero y dicen que buen cocinero.",False,False,51,60,1520,2019-04-30 17:02:55
1144305427141877760,Fernand10477154,"Treinta y Tres, Uruguay","La Familia y los amigos, https://t.co/pVA7TSnsP6 
Olimareño 🇺🇾
Zambrano y Cia",False,False,51,195,591,2019-06-27 18:04:08
2787433384,juanjuanito_s,"Montevideo, Uruguay",Aún no estoy en wikipedia,False,False,20,354,365,2014-09-27 16:42:10
4562072485,nico_quesada13,Puntas de Valdez,"Enfermo hincha de Nacional.
Socio #110448.


Independiente, el más grande del interior.


Intento de coordinador 😊.",False,False,676,872,10729,2015-12-15 02:49:31
918562094164914176,Remualdii,,Ig: braulio_remu,False,False,60,32,472,2017-10-12 19:40:44
51076012,RicardoJGF,"Montevideo, Uruguay",,False,False,739,112,156918,2009-06-26 14:25:23
2629772205,fer_andres_lope,Uruguay,"Ecoapicultores(Agroecológicos, orgánicos, defensores del Medio ambiente) No hay que producir más, hay que producir mejor.",False,False,4031,4982,41896,2014-06-21 23:18:11
563076013,andriulis_c,Uruguay,"La vida es lo que te va pasando, mientras te empeñas en hacer otros planes...",False,False,43,191,211,2012-04-25 18:00:27
179196846,Queeeee_e,Uruguay,"No tengo idea de que poner acá, pero no me gusta verlo vacío, así que sólo haré esta frase larga para que ocupe lugar.",False,False,470,518,15474,2010-08-16 18:59:36
2848582576,csfabbiani,,,False,False,528,624,53852,2014-10-28 17:58:29
803249071,ObservadorAgro,"Montevideo, Uruguay",Cuenta especializada de @ObservadorUY para noticias y análisis de emprendimientos y sucesos en el mundo de los agronegocios.,False,True,13561,279,21420,2012-09-04 21:27:49
205843378,nbortolotto,Arachania - Rocha - Uruguay,,False,False,76,237,519,2010-10-21 18:35:57
915256244,javifundamental,"Montevideo, Uruguay",Que el ultimo prenda la Luz.. 1922,False,False,1758,524,26494,2012-10-30 18:48:29
1073781641057845248,Agusrod55349292,"Montevideo, Uruguay",Fvet  🌲🐴,False,False,257,408,5643,2018-12-15 03:27:47
1054520721991450624,Fernand92658669,Uruguay,"Demócrata, liberal, republicano, rugbista agrónomo, padre, secuencia de elección de características.",False,False,60,168,1902,2018-10-22 23:51:46
2817489848,alEr212,Cuarentena,,False,False,98,275,2767,2014-09-18 17:54:54
952110008,Sebastiannd_,"Montevideo, Uruguay ",me hago cargo de mi inestabilidad emocional y a veces juego al serio con mi perro,False,False,674,457,40408,2012-11-16 17:42:01
1207528012272549888,Katheri91854937,Uruguay,Candela Abigail💜👑 13/07/18❤ 25/02/19👶☄Tu estrella me guia☄ abuelos👴 05/12/2007👼💔 🔞 años,False,False,331,874,3562,2019-12-19 05:08:16
3061796939,milu15_3,"Minas, Lavalleja📌","Las fechas son solo números, lo único que les dan un significado es el hecho por el cual nos importan",False,False,272,515,5520,2015-02-25 12:18:32
138787773,anelimduarte,Ciudad de la Costa,·21.,False,False,1302,890,76404,2010-04-30 15:56:04
1650142147,Claudialanzilot,,,False,False,655,4426,18531,2013-08-06 11:24:17
22768580,juanif94,"Montevideo, Uruguay",,False,False,105,476,4127,2009-03-04 13:18:47
1016909883436929024,ILarraud,"Montevideo, Uruguay",✊🏻💚,False,False,192,208,22518,2018-07-11 04:59:44
